name,style
Kalib Starnes,grappler
Laureano Staropoli,grappler
Damian Stasiak,grappler
Dominique Steele,grappler
Kody Steele,grappler
Steve Steinbeiss,striker
Dmitri Stepanov,grappler
Jeremy Stephens,grappler
Aljamain Sterling,grappler
Joe Stevenson,grappler
Maia Stevenson,grappler
Darren Stewart,grappler
Kyle Stewart,striker
Alex Stiebling,grappler
Navajo Stirling,grappler
Dan Stittgen,grappler
Denis Stojnic,striker
Julija Stoliarenko,grappler
Dustin Stoltzfus,grappler
Niklas Stolze,striker
Ken Stone,grappler
Rick Story,grappler
Darko Stosic,grappler
Greg Stott,grappler
Curtis Stout,striker
Sam Stout,striker
Jesse Strader,grappler
Dave Strasser,grappler
Gerald Strebendt,grappler
Sean Strickland,striker
Mark Striegl,striker
Hans Stringer,grappler
Stefan Struve,striker
Josh Stuart,grappler
Mike Stumpf,grappler
Tatiana Suarez,grappler
Genki Sudo,grappler
George Sullivan,grappler
Amar Suloev,grappler
Sumudaerji,striker
Joel Sutton,striker
Martin Svensson,grappler
Cub Swanson,striker
Mike Swick,striker
Floyd Sword,grappler
Oumar Sy,grappler
Klaudia Sygula,grappler
Bentley Syler,grappler
Tim Sylvia,striker
Eugenio Tadeu,grappler
Justin Tafa,striker
Junior Tafa,striker
Khalid Taha,striker
Tatsuro Taira,grappler
Mairbek Taisumov,striker
Yoshiki Takahashi,grappler
Daiju Takase,striker
Oleg Taktarov,striker
Payton Talbott,striker
Nordine Taleb,grappler
Issei Tamura,grappler
Jason Tan,striker
Michinori Tanaka,grappler
Evan Tanner,grappler
Miesha Tate,grappler
Thiago Tavares,grappler
Brad Tavares,striker
Ramon Taveras,striker
Paul Taylor,striker
Jesse Taylor,grappler
Danielle Taylor,striker
James Te Huna,grappler
Glover Teixeira,grappler
John Teixeira,grappler
Tallison Teixeira,grappler
Tra Telligman,striker
Ramazan Temirov,grappler
David Terrell,grappler
David Teymur,striker
Daniel Teymur,striker
Motonobu Tezuka,grappler
Jason Thacker,grappler
Alexia Thainara,grappler
Brandon Thatch,striker
Elias Theodorou,grappler
Paulo Thiago,grappler
Colby Thicknesse,grappler
Din Thomas,grappler
Ryan Thomas,grappler
Nick Thompson,grappler
Oli Thompson,striker
Stephen Thompson,striker
Josh Thomson,grappler
Simeon Thoresen,grappler
Gleison Tibau,grappler
Chris Tickle,grappler
Nolan Ticman,striker
Darren Till,striker
Denis Tiuliulin,striker
Dusko Todorovic,grappler
Tuco Tokkos,grappler
Kazuki Tokudome,grappler
Puja Tomar,striker
Tyler Toner,grappler
James Toney,grappler
Ilia Topuria,grappler
Aleksandre Topuria,grappler
Anthony Torres,striker
Miguel Torres,striker
Ronys Torres,grappler
Alex Torres,grappler
Jose Torres,grappler
Manuel Torres,grappler
Salim Touahri,striker
Dequan Townsend,striker
Roberto Traven,striker
Francisco Trevino,grappler
Frank Trigg,striker
Francisco Trinaldo,grappler
Michael Trizano,striker
Antonio Trocoli,striker
Tor Troeng,grappler
Abel Trujillo,grappler
Arman Tsarukyan,grappler
Rei Tsuruya,grappler
Chris Tuchscherer,grappler
Jon Tuck,striker
Gavin Tucker,grappler
Jumabieke Tuerxun,striker
Tai Tuivasa,striker
Zubaira Tukhugov,grappler
Teila Tuli,grappler
Marco Tulio,grappler
Nyamjargal Tumendemberel,grappler
Albert Tumenov,striker
Ricky Turcios,grappler
Anton Turkalj,grappler
Wellington Turman,grappler
Courtney Turner,grappler
Jalin Turner,striker
Marcin Tybura,grappler
Alberto Uda,grappler
Tagir Ulanbekov,grappler
Carlos Ulberg,striker
Gasan Umalatov,grappler
Caol Uno,grappler
Hector Urbina,striker
Gilbert Urbina,grappler
Yasuhiro Urushitani,striker
Kamaru Usman,grappler
Mohammed Usman,striker
Darren Uyenoyama,grappler
Richie Vaculik,grappler
Genaro Valdez,striker
Charlie Valencia,grappler
Robert Valentin,striker
Timur Valiev,grappler
Victor Valimaki,grappler
Kevin Vallejos,grappler
Isaac Vallie-Flagg,striker
Joshua Van,grappler
Mike van Arsdale,grappler
Matt Van Buren,striker
Ron van Clief,grappler
Cameron VanCamp,striker
Jared Vanderaa,striker
Austin Vanderford,grappler
Lando Vannata,grappler
Paige VanZant,grappler
Paul Varelans,striker
Kazula Vargas,grappler
Jamie Varner,grappler
Guilherme Vasconcelos,grappler
Yuri Vaulin,grappler
Javier Vazquez,grappler
Matt Veach,grappler
Joe Vedepo,grappler
Cain Velasquez,grappler
David Velasquez,grappler
Bojan Velickovic,grappler
Karlos Vemola,grappler
Luigi Vendramini,grappler
Brandon Vera,striker
Marlon Vera,striker
Carlos Vera,striker
Ernie Verdicia,grappler
Joe Veres,striker
Nikolay Veretennikov,striker
CJ Vergara,striker
Renato Verissimo,grappler
Marvin Vettori,grappler
Hugo Viana,striker
Polyana Viana,grappler
James Vick,striker
Tamires Vidal,striker
Milton Vieira,grappler
Reginaldo Vieira,grappler
Ketlen Vieira,grappler
Rodolfo Vieira,grappler
Steve Vigneault,grappler
Gian Villante,striker
Ike Villanueva,striker
Danillo Villefort,grappler
Yuri Villefort,grappler
Marcos Vinicius,striker
Falaniko Vitale,striker
Cheyanne Vlismas,grappler
Bobby Voelker,grappler
Alexander Volkanovski,grappler
Jacob Volkmann,grappler
Alexander Volkov,striker
Jason Von Flue,grappler
Jordan Vucenic,grappler
Chris Wade,grappler
Neil Wain,grappler
TJ Waldburger,grappler
Donny Walker,striker
Johnny Walker,striker
Brogan Walker,striker
Valter Walker,grappler
Julius Walker,grappler
Ben Wall,striker
Crafton Wallace,striker
Rodney Wallace,grappler
Jim Wallhead,striker
Cory Walmsley,grappler
Richard Walsh,grappler
Patrick Walsh,grappler
Andy Wang,grappler
Sai Wang,striker
Anying Wang,striker
Wang Cong,striker
Curt Warburton,grappler
Charlie Ward,striker
Terrion Ware,striker
Ron Waterman,grappler
Dominic Waters,grappler
Trey Waters,grappler
Michelle Waterson-Gomez,grappler
Kyle Watson,striker
Walel Watson,striker
Tom Watson,striker
Brok Weaver,grappler
Jonavin Webb,grappler
Royston Wee,grappler
Darian Weeks,grappler
Joshua Weems,grappler
Chris Weidman,grappler
Mark Weir,striker
Christian Wellisch,grappler
Jeremiah Wells,grappler
Fabricio Werdum,grappler
Mike Wessel,grappler
Sheldon Westcott,grappler
Vernon White,grappler
Alex White,striker
Craig White,striker
Robert Whiteford,grappler
Mike Whitehead,grappler
Garett Whiteley,striker
Emily Whitmire,grappler
Robert Whittaker,striker
Adam Wieczorek,striker
Orlando Wiet,striker
Jonathan Wiezorek,grappler
Aaron Wilkinson,grappler
Mike Wilkinson,grappler
Rob Wilkinson,grappler
James Wilks,grappler
Tedd Williams,grappler
Pete Williams,grappler
Patrick Williams,grappler
Tim Williams,grappler
Jordan Williams,grappler
Cole Williams,striker
Khaos Williams,striker
Karl Williams,grappler
Justin Willis,grappler
Chris Wilson,grappler
Jonathan Wilson,striker
Westin Wilson,grappler
Matt Wiman,grappler
Eddie Wineland,striker
Deron Winn,grappler
Andre Winner,striker
Eric Wisely,striker
Keith Wisniewski,grappler
Jason Witt,grappler
Travis Wiuff,grappler
Ray Wizard,grappler
Danyelle Wolf,grappler
Brandon Wolff,striker
Joanne Wood,grappler
Nathaniel Wood,grappler
Val Woodburn,grappler
Tyron Woodley,striker
Sean Woodson,striker
Cal Worsham,striker
Khama Worthy,striker
Justin Wren,grappler
Jordan Wright,grappler
Marcin Wrzosek,grappler
Wu Yanan,striker
Wulijiburen,grappler
Xiao Long,grappler
Jamie Yager,grappler
Eddie Yagin,striker
Rani Yahya,grappler
Mohammad Yahya,grappler
Alexander Yakovlev,grappler
Keiichiro Yamamiya,grappler
Kenichi Yamamoto,striker
Norifumi Yamamoto,grappler
Yan Xiaonan,striker
Petr Yan,grappler
Adam Yandiev,grappler
Adrian Yanez,striker
Dongi Yang,grappler
Jianping Yang,grappler
Masutatsu Yano,grappler
Emmanuel Yarborough,grappler
Cale Yarbrough,grappler
Yizha,grappler
Ashley Yoder,grappler
Yoshiyuki Yoshida,grappler
SuYoung You,grappler
Jason Young,grappler
Shane Young,striker
Shanna Young,striker
Besam Yousef,grappler
Rob Yundt,grappler
Sodiq Yusuff,striker
Gilbert Yvel,striker
Luke Zachrich,striker
Anton Zafir,grappler
Aiemann Zahabi,striker
Youssef Zalal,grappler
Elizeu Zaleski dos Santos,striker
Roger Zapata,grappler
David Zawada,grappler
Manolo Zecchini,grappler
Joao Zeferino,grappler
Daniel Zellhuber,striker
Zhang Tiequan,striker
Zhang Lipeng,grappler
Zhang Weili,grappler
Zhang Mingyang,striker
Daria Zhelezniakova,grappler
Yao Zhikui,striker
Zhalgas Zhumagulov,grappler
Fares Ziam,grappler
James Zikic,grappler
Cat Zingano,grappler
Igor Zinoviev,grappler
Allan Zuniga,grappler
