name,height,reach,stance,rating,rd,volatility,tot_str_pct,td_pct,sig_str_pct,head_sig_str_pct,body_sig_str_pct,leg_sig_str_pct,dist_sig_str_pct,clch_sig_str_pct,gnd_sig_str_pct,avg_kd,avg_tot_str_lnd,avg_td_lnd,avg_sub_att,avg_rev,avg_ctrl,avg_sig_str_lnd,avg_head_sig_str_lnd,avg_body_sig_str_lnd,avg_leg_sig_str_lnd,avg_dist_sig_str_lnd,avg_clch_sig_str_lnd,avg_gnd_sig_str_lnd
Juan Adams,77,80,Orthodox,1277.1806459342913,189.84664395443923,0.059998742280951825,0.5604685670723407,0.25,0.5249987812487813,0.5244718261253676,0.6032608695652174,0.6166666666666667,0.46245793157557863,0.42500000000000004,0.44886363636363635,0.0,21.5,0.16666666666666666,0.0,0.0,30.0,16.416666666666668,12.333333333333334,2.9166666666666665,1.1666666666666665,9.833333333333334,3.583333333333333,3.0
Zarrukh Adashev,65,65,Southpaw,1326.6226581202595,195.6025601170269,0.060002314839628625,0.4135579171913953,0.0,0.41122292341804534,0.32839671222024164,0.4841628959276018,0.8784722222222222,0.4042672655811342,0.41666666666666663,0.125,0.0,11.333333333333334,0.0,0.08333333333333333,0.0,3.9166666666666665,11.083333333333334,7.333333333333334,1.5,2.25,10.416666666666668,0.5,0.16666666666666666
Israel Adesanya,76,80,Switch,2111.5196767604757,97.52950010713899,0.06001054136233074,0.5266914748161368,0.013888888888888888,0.49758612412870384,0.3649962372822007,0.71177022274135,0.8081223011364713,0.4865412697776864,0.48979076479076483,0.37589786756453425,0.3611111111111111,22.336111111111112,0.011111111111111112,0.03333333333333334,0.036111111111111115,7.569444444444445,19.439814814814817,9.810185185185185,4.042592592592593,5.587037037037037,17.566666666666666,1.2592592592592593,0.6138888888888889
Sam Adkins,75,75,Orthodox,1502.4627206968285,193.84592483700504,0.059998008539495024,0.2125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Agallar,68,68,Orthodox,1351.6262877321412,267.2022227129812,0.059999208766957655,0.20833333333333334,0.0,0.11627906976744186,0.05555555555555555,0.0,0.6,0.09523809523809523,1.0,0.0,0.0,5.0,0.0,0.0,0.0,33.5,2.5,1.0,0.0,1.5,2.0,0.5,0.0
Mariya Agapova,66,68,Southpaw,1392.8049299722452,165.23745583156767,0.06000244870359916,0.6815255395780144,0.16666666666666666,0.5137197413284978,0.4553858264292394,0.6351421188630492,0.36904761904761907,0.3793356848912404,0.7369281045751634,0.2708333333333333,0.2222222222222222,32.5,0.16666666666666666,0.3055555555555555,0.08333333333333333,25.944444444444443,16.916666666666668,11.25,4.444444444444444,1.222222222222222,10.638888888888888,3.361111111111111,2.9166666666666665
Marcelo Aguiar,70,70,Orthodox,1374.129533252276,284.0344886696609,0.059999292969268904,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0
Jessica Aguilar,63,63,Orthodox,1279.7575449579294,180.64395811143675,0.05999775297721882,0.6046899281130529,0.16,0.5479837582114109,0.29438847117794487,0.8002249212775527,0.7904761904761906,0.3318154858594694,0.7679385964912281,0.3314285714285714,0.0,28.26666666666667,0.26666666666666666,0.06666666666666667,0.0,51.333333333333336,22.133333333333333,11.2,6.933333333333333,4.0,12.933333333333334,7.6,1.6
Kevin Aguilar,67,73,Orthodox,1498.28940798198,161.09453908708394,0.06000362670412244,0.442979716113181,0.16666666666666666,0.3907361243009391,0.2930082816877278,0.7311228276847972,0.7301587301587302,0.3641849722588271,0.5074074074074074,0.2414772727272727,0.05555555555555555,24.333333333333332,0.05555555555555555,0.0,0.05555555555555555,17.88888888888889,18.77777777777778,10.833333333333334,6.666666666666667,1.277777777777778,16.11111111111111,1.5555555555555556,1.111111111111111
Jesus Aguilar,64,62,Orthodox,1559.8723110514288,186.35527292529395,0.05999680192214163,0.6622297679683078,0.13,0.6393486590038314,0.4726666666666667,0.5599999999999999,0.5678571428571428,0.6396741854636592,0.22000000000000003,0.27999999999999997,0.2,6.666666666666666,0.2,0.6,0.06666666666666667,32.13333333333333,5.0,3.2,0.7333333333333333,1.0666666666666669,4.2,0.4666666666666666,0.3333333333333333
