date,red,blue,red_result,red_tot_str_pct,blue_tot_str_pct,red_td_pct,blue_td_pct,red_sig_str_pct,blue_sig_str_pct,red_head_sig_str_pct,blue_head_sig_str_pct,red_body_sig_str_pct,blue_body_sig_str_pct,red_leg_sig_str_pct,blue_leg_sig_str_pct,red_dist_sig_str_pct,blue_dist_sig_str_pct,red_clch_sig_str_pct,blue_clch_sig_str_pct,red_gnd_sig_str_pct,blue_gnd_sig_str_pct,avg_red_kd,avg_blue_kd,avg_red_tot_str_lnd,avg_blue_tot_str_lnd,avg_red_td_lnd,avg_blue_td_lnd,avg_red_sub_att,avg_blue_sub_att,avg_red_rev,avg_blue_rev,avg_red_ctrl,avg_blue_ctrl,avg_red_sig_str_lnd,avg_blue_sig_str_lnd,avg_red_head_sig_str_lnd,avg_blue_head_sig_str_lnd,avg_red_body_sig_str_lnd,avg_blue_body_sig_str_lnd,avg_red_leg_sig_str_lnd,avg_blue_leg_sig_str_lnd,avg_red_dist_sig_str_lnd,avg_blue_dist_sig_str_lnd,avg_red_clch_sig_str_lnd,avg_blue_clch_sig_str_lnd,avg_red_gnd_sig_str_lnd,avg_blue_gnd_sig_str_lnd,red_rating,red_rd,blue_rating,blue_rd,exp_red_outcome,red_height,red_reach,red_stance,blue_height,blue_reach,blue_stance
2015-07-12,Jorge Masvidal,Cezar Ferreira,1.0,0.56,0.45,0.0,0.3333333333333333,0.5217391304347826,0.3888888888888889,0.47058823529411764,0.5,0.75,0.3333333333333333,0.5,0.0,0.3333333333333333,0.375,0.75,0.5,1.0,0.0,1.0,0.0,14.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,91.0,12.0,7.0,8.0,5.0,3.0,2.0,1.0,0.0,5.0,6.0,3.0,1.0,4.0,0.0,1833.4694412813424,156.95094199333496,1657.3743277390377,169.24297968254626,0.6937579192670007,71,74,Orthodox,73,78,Southpaw
2017-02-19,Elias Theodorou,Cezar Ferreira,1.0,0.45161290322580644,0.2894736842105263,0.25,0.5,0.3275862068965517,0.2894736842105263,0.225,0.15384615384615385,0.5,0.5,0.6,0.6666666666666666,0.2692307692307692,0.3055555555555556,1.0,0.0,0.7777777777777778,0.0,0.0,0.0,23.333333333333332,3.6666666666666665,0.3333333333333333,1.0,0.0,0.6666666666666666,0.6666666666666666,0.0,54.0,35.0,12.666666666666666,3.6666666666666665,6.0,1.3333333333333333,2.6666666666666665,1.0,4.0,1.3333333333333333,9.333333333333334,3.6666666666666665,1.0,0.0,2.3333333333333335,0.0,1793.6308914494775,177.15372545867373,1723.0312055523862,136.05041947724325,0.5821357000850559,73,75,Orthodox,73,78,Southpaw
2016-04-16,Oluwale Bamgbose,Cezar Ferreira,0.0,0.616822429906542,0.6262626262626263,0.0,0.6,0.39215686274509803,0.4482758620689655,0.3170731707317073,0.44680851063829785,0.6,0.25,0.8,0.5714285714285714,0.3333333333333333,0.2962962962962963,0.0,0.0,0.5333333333333333,0.5806451612903226,0.3333333333333333,0.0,22.0,20.666666666666668,0.0,1.0,0.0,0.0,0.0,0.0,18.0,137.0,6.666666666666667,8.666666666666666,4.333333333333333,7.0,1.0,0.3333333333333333,1.3333333333333333,1.3333333333333333,4.0,2.6666666666666665,0.0,0.0,2.6666666666666665,6.0,1529.616722452587,225.2903087243164,1620.5364710100982,157.68211508166624,0.40267712128996924,71,78,Switch,73,78,Southpaw
2019-07-13,Marvin Vettori,Cezar Ferreira,1.0,0.6022727272727273,0.45555555555555555,0.5,0.0,0.527027027027027,0.4431818181818182,0.5036496350364964,0.3148148148148148,0.7777777777777778,0.5384615384615384,1.0,0.7142857142857143,0.4672897196261682,0.4074074074074074,0.6666666666666666,0.8571428571428571,0.7272727272727273,0.0,0.0,0.0,35.333333333333336,13.666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,51.333333333333336,3.0,26.0,13.0,23.0,5.666666666666667,2.3333333333333335,2.3333333333333335,0.6666666666666666,5.0,16.666666666666668,11.0,6.666666666666667,2.0,2.6666666666666665,0.0,1568.3510546745963,171.94453238039551,1718.3045685375805,116.977298141081,0.32729785471720685,72,74,Southpaw,73,78,Southpaw
2005-08-06,Stephan Bonnar,Sam Hoger,1.0,0.6481481481481481,0.7323943661971831,0.42857142857142855,1.0,0.4725274725274725,0.3793103448275862,0.45348837209302323,0.34615384615384615,0.6666666666666666,1.0,1.0,0.0,0.36363636363636365,0.3333333333333333,0.5,0.42857142857142855,0.5098039215686274,0.5,0.0,0.0,35.0,17.333333333333332,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,196.33333333333334,42.333333333333336,14.333333333333334,3.6666666666666665,13.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,2.6666666666666665,2.0,3.0,1.0,8.666666666666666,0.6666666666666666,1337.6891060937023,290.31896371798047,1662.3108939062977,290.31896371798047,0.24274666129920258,76,79,Orthodox,74,74,Orthodox
2006-04-06,Rashad Evans,Sam Hoger,1.0,0.4842105263157895,0.5221238938053098,0.8181818181818182,0.0,0.3194444444444444,0.25,0.2835820895522388,0.14814814814814814,0.8,0.5294117647058824,0.0,1.0,0.29310344827586204,0.2153846153846154,0.5,0.5714285714285714,0.25,0.0,0.0,0.0,15.333333333333334,19.666666666666668,3.0,0.0,0.0,0.6666666666666666,0.0,0.0,187.66666666666666,1.0,7.666666666666667,6.0,6.333333333333333,2.6666666666666665,1.3333333333333333,3.0,0.0,0.3333333333333333,5.666666666666667,4.666666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,1662.3108939062977,290.31896371798047,1551.3852723923972,233.37117913417484,0.6016604937685075,72,75,Orthodox,74,74,Orthodox
2007-02-03,Lyoto Machida,Sam Hoger,1.0,0.717948717948718,0.5128205128205128,1.0,0.14285714285714285,0.6526315789473685,0.23404255319148937,0.6086956521739131,0.16216216216216217,0.75,0.5,0.7777777777777778,0.5,0.660377358490566,0.2682926829268293,0.5555555555555556,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,28.0,13.333333333333334,1.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,155.66666666666666,8.333333333333334,20.666666666666668,3.6666666666666665,14.0,2.0,2.0,1.0,4.666666666666667,0.6666666666666666,11.666666666666666,3.6666666666666665,1.6666666666666667,0.0,7.333333333333333,0.0,1500.0,350.0,1479.216024767335,210.50477871987275,0.5182619658419363,73,74,Southpaw,74,74,Orthodox
2007-07-07,Stephan Bonnar,Mike Nickels,1.0,0.4,0.3,0.0,0.5,0.4,0.2222222222222222,0.25,0.125,0.0,0.0,1.0,1.0,0.4,0.25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,65.0,42.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1629.3805719865732,168.16546771583825,1662.3108939062977,290.31896371798047,0.4676028892077971,76,79,Orthodox,76,76,Orthodox
2011-11-19,Stephan Bonnar,Kyle Kingsbury,1.0,0.726775956284153,0.6333333333333333,0.6666666666666666,0.0,0.4864864864864865,0.5849056603773585,0.35294117647058826,0.45454545454545453,0.7857142857142857,0.7777777777777778,0.7777777777777778,0.8181818181818182,0.3333333333333333,0.5135135135135135,0.7894736842105263,0.75,0.47368421052631576,0.0,0.0,0.0,44.333333333333336,12.666666666666666,1.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,211.66666666666666,19.333333333333332,12.0,10.333333333333334,6.0,5.0,3.6666666666666665,2.3333333333333335,2.3333333333333335,3.0,4.0,6.333333333333333,5.0,4.0,3.0,0.0,1654.8067527965825,130.30979259173716,1733.0487999547388,180.61911691424206,0.40907434931223813,76,79,Orthodox,76,79,Orthodox
2008-12-13,Tom Lawlor,Kyle Kingsbury,1.0,0.8536585365853658,0.8706896551724138,0.3684210526315789,0.0,0.6363636363636364,0.45454545454545453,0.6363636363636364,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,0.1,0.5,0.625,0.6666666666666666,1.0,0.0,0.0,23.333333333333332,33.666666666666664,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,227.33333333333334,46.333333333333336,4.666666666666667,3.3333333333333335,4.666666666666667,2.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,4.0,1.3333333333333333,1500.0,350.0,1500.0,350.0,0.5,72,74,Southpaw,76,79,Orthodox
