name,height,weight,reach,stance,wins,losses,draws
Quang Le,"5' 6""",135 lbs.,"70.0""",Orthodox,8,2,0
Carlos Leal,"5' 11""",170 lbs.,"74.0""",Orthodox,22,6,0
Jordan Leavitt,"5' 9""",155 lbs.,"71.0""",Southpaw,11,3,0
Jerome LeBanner,"6' 3""",265 lbs.,--,Southpaw,3,2,0
Chris Leben,"5' 11""",185 lbs.,"73.0""",Southpaw,22,11,0
Mickael Lebout,"5' 11""",155 lbs.,"73.0""",Orthodox,16,7,1
Stephen Ledbetter,"5' 9""",145 lbs.,--,Orthodox,8,3,0
Justin Ledet,"6' 4""",205 lbs.,"80.0""",Orthodox,9,4,0
James Lee,"5' 11""",205 lbs.,--,Southpaw,15,3,0
David Lee,"5' 10""",155 lbs.,--,Orthodox,12,10,0
Jackie Lee,--,--,--,,0,1,0
Eun Soo Lee,"6' 1""",215 lbs.,--,Orthodox,17,4,0
Tae Hyun Lee,"6' 6""",295 lbs.,--,Orthodox,1,2,0
Tommy Lee,"5' 7""",145 lbs.,--,Orthodox,25,6,0
Matt Lee,"5' 11""",155 lbs.,--,Orthodox,14,10,1
Imani Lee,--,--,--,Orthodox,2,4,0
Vaughan Lee,"5' 6""",125 lbs.,"66.0""",Orthodox,14,13,1
Kevin Lee,"5' 9""",170 lbs.,"77.0""",Orthodox,18,8,0
Rocky Lee,"5' 9""",145 lbs.,--,Orthodox,3,2,0
Andrea Lee,"5' 6""",125 lbs.,"69.0""",Orthodox,13,11,0
JeongYeong Lee,"5' 10""",145 lbs.,"73.0""",Orthodox,11,2,0
JungHyun Lee,"5' 5""",125 lbs.,"65.0""",Orthodox,8,1,0
ChangHo Lee,"5' 8""",135 lbs.,"69.0""",Orthodox,10,1,0
Ricky Legere Jr.,"5' 8""",170 lbs.,--,,14,4,0
Sherron Leggett,"5' 8""",155 lbs.,--,Southpaw,21,6,0
Cheyden Leialoha,"5' 8""",135 lbs.,"73.0""",Orthodox,6,0,0
Claudia Leite,"5' 3""",135 lbs.,"64.0""",Orthodox,8,3,0
Thales Leites,"6' 1""",185 lbs.,"78.0""",Orthodox,28,9,0
Stefan Leko,"6' 2""",215 lbs.,--,Orthodox,0,3,0
Gabe Lemley,"5' 8""",155 lbs.,--,Orthodox,13,9,0
Amanda Lemos,"5' 4""",115 lbs.,"65.0""",Southpaw,15,4,1
Giacomo Lemos,"6' 3""",247 lbs.,"75.0""",Orthodox,6,0,0
Christophe Leninger,"6' 0""",200 lbs.,--,Southpaw,3,4,0
Jesse Lennox,"5' 9""",170 lbs.,"72.0""",Orthodox,14,4,0
Jean Francois Lenogue,"6' 0""",185 lbs.,--,Orthodox,16,17,3
Nik Lentz,"5' 8""",145 lbs.,"68.0""",Orthodox,30,12,2
Alberta Cerra Leon,"5' 8""",238 lbs.,--,,0,1,0
Victoria Leonardo,"5' 5""",125 lbs.,"64.0""",Orthodox,9,7,0
Anthony Leone,"5' 6""",135 lbs.,--,Orthodox,15,8,0
Chad Leonhardt,"6' 0""",170 lbs.,--,,9,4,0
Kimo Leopoldo,"6' 3""",235 lbs.,--,Orthodox,10,7,1
Michael Lerma,--,--,--,,0,1,0
Lukasz Les,--,170 lbs.,--,,8,3,0
Brock Lesnar,"6' 3""",265 lbs.,"81.0""",Orthodox,5,3,0
Frank Lester,"5' 11""",170 lbs.,--,Orthodox,11,6,0
Valerie Letourneau,"5' 7""",115 lbs.,"68.0""",Orthodox,8,6,0
Leah Letson,"5' 7""",145 lbs.,"71.0""",Southpaw,5,3,0
Justin Levens,"5' 11""",185 lbs.,--,Orthodox,10,7,0
Marcus LeVesseur,"5' 9""",155 lbs.,"70.0""",Southpaw,22,7,0
David Levicki,"6' 5""",275 lbs.,--,,1,3,0
Kyle Levinton,--,--,--,,0,3,0
Natan Levy,"5' 9""",155 lbs.,"71.0""",Southpaw,8,2,0
John Lewis,"6' 0""",155 lbs.,--,Southpaw,3,4,3
Derrick Lewis,"6' 3""",260 lbs.,"79.0""",Orthodox,28,12,0
Bevon Lewis,"6' 3""",185 lbs.,"79.0""",Orthodox,7,3,0
Brandon Lewis,"5' 4""",135 lbs.,"70.0""",Orthodox,6,2,0
Malik Lewis,"6' 0""",155 lbs.,"75.0""",Orthodox,6,2,0
Chi Lewis-Parry,"6' 9""",243 lbs.,--,,7,0,1
Li Jingliang,"6' 0""",170 lbs.,"71.0""",Orthodox,19,9,0
Li Yunfeng,"5' 8""",135 lbs.,"68.0""",Orthodox,9,5,0
Liang Na,"5' 5""",125 lbs.,"67.0""",Orthodox,19,8,0
Jess Liaudin,"5' 9""",170 lbs.,"72.0""",Orthodox,20,11,0
Chuck Liddell,"6' 2""",205 lbs.,"76.0""",Orthodox,21,8,0
Rodrigo Lidio,"5' 11""",155 lbs.,"73.0""",Orthodox,12,3,0
Sam Liera,--,--,--,,12,10,0
Zach Light,"5' 8""",170 lbs.,--,Orthodox,9,11,0
Scott Lighty,"6' 2""",205 lbs.,--,,6,2,0
Chris Liguori,"5' 9""",185 lbs.,--,Orthodox,15,10,0
Donnie Liles,"5' 9""",170 lbs.,--,Orthodox,17,7,0
Jae Suk Lim,"5' 9""",170 lbs.,--,Orthodox,17,6,0
Hyun Gyu Lim,"6' 3""",170 lbs.,"77.0""",Orthodox,13,7,1
Juliana Lima,"5' 5""",115 lbs.,"65.0""",Orthodox,9,5,0
Dhiego Lima,"6' 2""",170 lbs.,"75.0""",Orthodox,17,9,0
Douglas Lima,"6' 1""",170 lbs.,--,,29,6,0
Mabelly Lima,"5' 2""",135 lbs.,--,Orthodox,7,1,0
Andre Lima,"5' 7""",125 lbs.,"67.0""",Orthodox,11,0,0
Felipe Lima,"5' 6""",145 lbs.,"68.0""",Orthodox,14,1,0
Miguel Linares,--,--,--,,2,4,0
Emiliano Linares,"5' 8""",145 lbs.,"72.0""",Orthodox,8,2,0
Matt Lindland,"6' 0""",185 lbs.,"74.0""",Southpaw,22,9,0
Jake Lindsey,"5' 11""",155 lbs.,--,Switch,12,7,0
John Lineker,"5' 3""",135 lbs.,"67.0""",Orthodox,31,9,0
Austin Lingo,"5' 10""",145 lbs.,"70.0""",Orthodox,9,3,0
Lucio Linhares,"6' 2""",185 lbs.,--,Orthodox,19,8,0
Philipe Lins,"6' 2""",205 lbs.,"78.0""",Orthodox,18,5,0
Tainara Lisboa,"5' 7""",135 lbs.,"67.0""",Orthodox,7,2,0
Dean Lister,"6' 1""",185 lbs.,"75.0""",Orthodox,13,7,0
Wesley Little,"6' 4""",205 lbs.,--,,4,8,0
James Llontop,"6' 0""",155 lbs.,"73.0""",Orthodox,14,5,0
Abner Lloveras,"5' 11""",155 lbs.,--,,20,9,1
Brian Lo-A-Njoe,"5' 7""",155 lbs.,--,Orthodox,6,10,3
John Lober,"5' 11""",199 lbs.,--,Orthodox,5,9,4
Artem Lobov,"5' 9""",145 lbs.,"65.0""",Southpaw,13,15,1
Dylan Lockard,"5' 9""",145 lbs.,"72.0""",Orthodox,6,2,0
Ryan Loder,"6' 2""",185 lbs.,"76.0""",Southpaw,8,1,0
Sean Loeffler,"6' 3""",185 lbs.,--,Orthodox,31,5,0
Christian Lohsen,"6' 2""",155 lbs.,"77.0""",Southpaw,4,2,0
David Loiseau,"6' 0""",185 lbs.,"76.0""",Orthodox,23,11,0
Hector Lombard,"5' 9""",185 lbs.,"71.0""",Southpaw,34,10,1
Michael Lombardo,"6' 0""",170 lbs.,"72.0""",Orthodox,11,2,0
Rocky Long,--,145 lbs.,--,,21,37,1
Thomas Longacre,"5' 9""",145 lbs.,--,Orthodox,6,1,0
Loma Lookboonmee,"5' 1""",115 lbs.,"61.0""",Orthodox,9,3,0
Ange Loosa,"5' 10""",170 lbs.,"74.0""",Orthodox,10,4,0
Lucas Lopes,"6' 2""",185 lbs.,--,,29,19,0
Dileno Lopes,"5' 5""",135 lbs.,--,,19,3,0
Diego Lopes,"5' 11""",145 lbs.,"72.0""",Orthodox,26,6,0
Bruno Lopes,"6' 2""",205 lbs.,"74.0""",Orthodox,14,1,0
Arthur Lopes,"6' 2""",234 lbs.,"77.0""",Southpaw,6,2,0
Ivan Lopez,"5' 6""",135 lbs.,--,Southpaw,14,3,1
Steve Lopez,"5' 11""",155 lbs.,--,Orthodox,13,6,1
Federico Lopez,"5' 4""",139 lbs.,--,Orthodox,10,6,0
Jorge Lopez,"5' 10""",170 lbs.,--,Orthodox,11,5,0
Christopher Lopez,"5' 10""",170 lbs.,--,,9,1,0
Matthew Lopez,"5' 7""",135 lbs.,"69.0""",Southpaw,10,4,0
Benito Lopez,"5' 10""",135 lbs.,"73.0""",Switch,10,2,0
Gustavo Lopez,"5' 5""",135 lbs.,"67.0""",Orthodox,12,6,1
Brendan Loughnane,"5' 10""",145 lbs.,"70.0""",Switch,17,3,0
Nate Loughran,"6' 2""",185 lbs.,--,Orthodox,11,2,0
Caolan Loughran,"5' 6""",135 lbs.,"68.0""",Orthodox,10,2,0
Rashard Lovelace,--,155 lbs.,--,,4,1,0
Ian Loveland,"5' 8""",145 lbs.,--,Orthodox,18,10,0
Jakob Lovstad,"6' 3""",205 lbs.,--,Orthodox,11,4,0
Waylon Lowe,"5' 7""",145 lbs.,--,Southpaw,16,7,0
Brandon Lowe,--,155 lbs.,--,,2,1,0
Joe Lowry,"5' 11""",155 lbs.,"73.0""",Orthodox,9,2,0
Lu Kai,"5' 9""",145 lbs.,"69.0""",Orthodox,8,5,0
Lu Zhengyong,--,125 lbs.,--,,12,7,0
Robert Lucarelli,"6' 2""",245 lbs.,--,,0,1,0
Matt Lucas,"6' 1""",205 lbs.,--,,15,3,0
Cleber Luciano,"5' 6""",155 lbs.,--,,14,6,0
Stephanie Luciano,"5' 6""",115 lbs.,"65.0""",Orthodox,6,2,1
Iasmin Lucindo,"5' 3""",115 lbs.,"66.0""",Orthodox,17,6,0
Duane Ludwig,"5' 10""",170 lbs.,"70.0""",Orthodox,21,14,0
Mike Lullo,"5' 8""",145 lbs.,--,Orthodox,8,3,0
Paula Luna,"5' 2""",125 lbs.,"62.0""",Orthodox,5,3,0
Dalcha Lungiambula,"5' 8""",185 lbs.,"76.0""",Orthodox,11,6,0
Alexandru Lungu,"6' 0""",385 lbs.,--,Orthodox,14,4,0
Vicente Luque,"5' 11""",170 lbs.,"75.0""",Orthodox,23,10,1
Thaddeus Luster,"6' 3""",210 lbs.,--,,0,1,0
Travis Lutter,"5' 11""",185 lbs.,"75.0""",Orthodox,10,6,0
Joilton Lutterbach,"6' 1""",185 lbs.,"75.0""",Orthodox,38,9,0
Tucker Lutz,"5' 8""",145 lbs.,"72.0""",Orthodox,12,4,0
Lv Zhenhong,"5' 8""",145 lbs.,"67.0""",Switch,16,6,0
Stevie Lynch,"5' 10""",170 lbs.,--,Orthodox,5,2,0
Adam Lynn,"5' 10""",155 lbs.,--,Orthodox,17,10,0
Chris Lytle,"5' 11""",170 lbs.,"68.0""",Orthodox,31,18,5
Dong Hyun Ma,"5' 11""",155 lbs.,"70.0""",Orthodox,16,11,3
Pawan Maan,"5' 7""",155 lbs.,"70.0""",Orthodox,7,3,1
William Macario,"5' 11""",170 lbs.,"75.0""",Orthodox,9,3,0
Jason MacDonald,"6' 3""",185 lbs.,"80.0""",Orthodox,25,16,0
Rob MacDonald,"6' 3""",205 lbs.,"78.0""",Orthodox,5,4,0
Rory MacDonald,"6' 0""",170 lbs.,"76.0""",Orthodox,19,4,0
Ryan MacDonald,"5' 11""",135 lbs.,"71.0""",Switch,10,2,0
Clayton MacFarlane,--,170 lbs.,--,,4,1,0
Ilima Macfarlane,"5' 4""",125 lbs.,--,,6,0,0
Valesca Machado,"5' 4""",115 lbs.,"63.0""",Orthodox,8,3,0
Caio Machado,"6' 4""",250 lbs.,"78.0""",Southpaw,8,4,1
Ian Machado Garry,"6' 3""",170 lbs.,"74.0""",Orthodox,15,1,0
Lyoto Machida,"6' 1""",185 lbs.,"74.0""",Southpaw,24,8,0
War Machine,"5' 11""",170 lbs.,--,Orthodox,14,5,0
Anthony Macias,"5' 9""",185 lbs.,--,Switch,26,18,0
Pauline Macias,"5' 4""",115 lbs.,"64.0""",Southpaw,4,1,0
Reza Madadi,"5' 11""",155 lbs.,"73.0""",Orthodox,14,6,0
Don Madge,"6' 0""",155 lbs.,"72.0""",Southpaw,9,3,1
Ryan Madigan,"6' 0""",170 lbs.,--,Orthodox,5,3,0
Victor Madrigal,"5' 7""",135 lbs.,"71.0""",Orthodox,15,5,0
Jon Madsen,"6' 0""",240 lbs.,"72.0""",Orthodox,8,2,0
Mark Madsen,"5' 8""",155 lbs.,"72.0""",Orthodox,12,2,0
Yoshiro Maeda,"5' 7""",139 lbs.,"68.0""",Southpaw,35,16,5
Leonardo Mafra,"5' 10""",155 lbs.,"70.0""",Orthodox,13,4,0
Vinny Magalhaes,"6' 3""",205 lbs.,"75.0""",Orthodox,14,9,0
Vinicius Magalhaes,--,145 lbs.,--,,2,1,0
Caio Magalhaes,"6' 1""",185 lbs.,"73.0""",Orthodox,10,3,0
Bernardo Magalhaes,"5' 9""",155 lbs.,--,Orthodox,13,4,0
Eric Magana,--,--,--,,1,1,0
Brandon Magana,--,170 lbs.,--,Orthodox,6,2,0
Angela Magana,"5' 1""",115 lbs.,"65.0""",Orthodox,11,9,0
Neil Magny,"6' 3""",170 lbs.,"80.0""",Orthodox,29,14,0
Raimond Magomedaliev,"6' 1""",170 lbs.,"75.0""",Orthodox,10,2,0
Ibragim Magomedov,"6' 0""",250 lbs.,--,Orthodox,22,8,1
Rashid Magomedov,"5' 9""",155 lbs.,"70.0""",Orthodox,20,2,0
Ruslan Magomedov,"6' 3""",242 lbs.,"78.0""",Orthodox,14,1,0
Abus Magomedov,"6' 2""",185 lbs.,"78.0""",Orthodox,27,6,1
Shara Magomedov,"6' 2""",185 lbs.,"73.0""",Orthodox,15,1,0
Zabit Magomedsharipov,"6' 1""",145 lbs.,"73.0""",Orthodox,18,1,0
John Maguire,"5' 9""",155 lbs.,"69.0""",Southpaw,24,9,0
Lolohea Mahe,--,--,--,,10,4,1
Michelle Maher,--,145 lbs.,--,,1,2,0
 Maheshate,"6' 0""",155 lbs.,"71.0""",Orthodox,10,4,0
Bill Mahood,"6' 3""",200 lbs.,--,Orthodox,20,7,1
Klayton Mai,"5' 9""",125 lbs.,--,,8,3,0
Demian Maia,"6' 1""",170 lbs.,"72.0""",Southpaw,28,11,0
Jennifer Maia,"5' 4""",125 lbs.,"64.0""",Orthodox,21,10,1
Nayara Maia,"5' 5""",125 lbs.,"66.0""",Orthodox,7,1,1
Roshan Mainam,--,135 lbs.,--,,6,3,0
Levan Makashvili,"5' 8""",145 lbs.,"68.0""",Orthodox,15,2,1
John Makdessi,"5' 8""",155 lbs.,"68.0""",Orthodox,18,9,0
Islam Makhachev,"5' 10""",155 lbs.,"70.0""",Southpaw,27,1,0
Aliev Makhmud,"5' 6""",195 lbs.,--,Southpaw,0,1,0
Zach Makovsky,"5' 4""",125 lbs.,"64.0""",Southpaw,20,8,0
Azat Maksum,"5' 7""",125 lbs.,"70.0""",Southpaw,17,1,0
Jeremy Malaterre,"5' 11""",155 lbs.,--,,4,2,0
Fabio Maldonado,"6' 1""",205 lbs.,"75.0""",Orthodox,23,11,0
Marvin Maldonado,"5' 6""",135 lbs.,--,,2,4,0
Bea Malecki,"5' 9""",135 lbs.,"74.0""",Orthodox,4,1,0
Nazareno Malegarie,"5' 8""",155 lbs.,--,,28,4,0
Carl Malenko,"5' 11""",200 lbs.,--,Orthodox,6,4,0
Jacob Malkoun,"5' 9""",185 lbs.,"73.0""",Orthodox,8,3,0
Mike Malott,"6' 1""",170 lbs.,"73.0""",Orthodox,11,2,1
Dan Manasoiu,--,--,--,,0,0,0
Troy Mandaloniz,"5' 9""",170 lbs.,--,Orthodox,3,2,0
Nate Maness,"5' 10""",125 lbs.,"72.0""",Orthodox,16,3,0
Michael Mangan,--,155 lbs.,--,,0,3,0
Gary Mangat,"5' 7""",135 lbs.,--,,15,3,0
Melvin Manhoef,"5' 9""",185 lbs.,--,Orthodox,30,14,1
Melchor Manibusan,"5' 5""",154 lbs.,--,Southpaw,2,4,0
Jon Manley,"6' 1""",170 lbs.,--,Orthodox,9,4,0
Steve Mann,"6' 1""",170 lbs.,--,,12,5,0
Marnic Mann,"5' 0""",115 lbs.,"64.0""",Southpaw,6,3,0
Dylan Mantello,"6' 1""",155 lbs.,"73.0""",Orthodox,8,4,0
Chris Manuel,"5' 9""",135 lbs.,--,Orthodox,9,7,2
Jimi Manuwa,"6' 1""",205 lbs.,"79.0""",Orthodox,17,6,0
Cristiano Marcello,"5' 9""",155 lbs.,"72.0""",Orthodox,13,6,0
Daniel Marcos,"5' 7""",135 lbs.,"69.0""",Orthodox,17,0,0
Jose Maria,"5' 5""",125 lbs.,--,Orthodox,37,7,0
Marcos Mariano,"6' 1""",155 lbs.,"76.0""",Switch,6,6,0
Enrique Marin,"5' 10""",170 lbs.,--,,10,4,0
Chepe Mariscal,"5' 7""",145 lbs.,"69.0""",Orthodox,18,6,0
Ronny Markes,"6' 1""",185 lbs.,"75.0""",Orthodox,17,5,0
Rory Markham,"6' 0""",170 lbs.,"71.0""",Orthodox,17,6,0
Randa Markos,"5' 4""",115 lbs.,"63.0""",Orthodox,11,12,1
Christina Marks,"5' 7""",125 lbs.,"69.0""",Orthodox,8,9,0
Brendon Marotte,"5' 9""",145 lbs.,"70.0""",Orthodox,8,3,0
Nate Marquardt,"6' 0""",185 lbs.,"74.0""",Orthodox,35,19,2
Danilo Marques,"6' 6""",205 lbs.,"77.0""",Orthodox,11,4,0
Julian Marquez,"6' 2""",185 lbs.,"72.0""",Orthodox,9,6,0
Carmelo Marrero,"6' 0""",205 lbs.,"73.0""",Orthodox,16,6,0
Cesar Marscucci,--,--,--,,3,2,0
John Marsh,"6' 0""",265 lbs.,--,Orthodox,8,7,0
CJ Marsh,--,--,--,,5,7,0
Eliot Marshall,"6' 2""",205 lbs.,"77.0""",Orthodox,10,4,0
Doug Marshall,"5' 10""",205 lbs.,--,Orthodox,18,8,0
David Marshall,"6' 2""",170 lbs.,--,,8,4,0
Francis Marshall,"5' 9""",145 lbs.,"72.0""",Orthodox,8,3,0
Jack Marshman,"6' 0""",185 lbs.,"73.0""",Orthodox,23,10,0
Terry Martin,"5' 8""",185 lbs.,"71.0""",Orthodox,23,11,0
Eric Martin,--,--,--,,0,1,0
Justin Martin,"6' 0""",185 lbs.,--,,4,3,0
Dave Martin,"6' 0""",205 lbs.,--,,0,2,0
Joe Martin,"5' 9""",170 lbs.,--,,6,8,0
Anthony Rocco Martin,"6' 0""",170 lbs.,"73.0""",Orthodox,17,6,0
Mallory Martin,"5' 4""",115 lbs.,"63.0""",Orthodox,7,5,0
Michal Martinek,"6' 2""",230 lbs.,--,Southpaw,7,1,0
Rainy Martinez,"6' 0""",199 lbs.,--,Orthodox,0,2,0
Danny Martinez,"5' 6""",125 lbs.,"67.0""",Orthodox,21,8,0
Alonzo Martinez,"5' 10""",155 lbs.,--,,42,20,1
Henry Martinez,"5' 7""",155 lbs.,"69.0""",Southpaw,9,4,0
Jonathan Martinez,"5' 8""",135 lbs.,"70.0""",Southpaw,19,6,0
Poppies Martinez,"5' 9""",145 lbs.,--,,29,11,0
Andrew Martinez,"5' 9""",215 lbs.,--,,9,6,0
Mana Martinez,"5' 10""",135 lbs.,"70.0""",Orthodox,10,4,0
Victor Martinez,"5' 8""",155 lbs.,"70.0""",Orthodox,13,6,0
Roque Martinez,"5' 10""",250 lbs.,"72.0""",Orthodox,15,8,2
Melissa Martinez,"5' 2""",115 lbs.,"66.0""",Southpaw,8,1,0
Julieta Martinez,"5' 1""",115 lbs.,"62.0""",Orthodox,8,0,0
David Martinez,"5' 5""",135 lbs.,"67.0""",Orthodox,12,1,0
Wagner da Conceicao Martins,"6' 7""",390 lbs.,--,Orthodox,9,8,0
Adriano Martins,"5' 10""",155 lbs.,"72.0""",Southpaw,28,9,0
Lucas Martins,"6' 0""",145 lbs.,"72.0""",Southpaw,19,3,0
Max Martyniouk,--,155 lbs.,--,,1,1,0
Bristol Marunde,"6' 1""",170 lbs.,"75.0""",Orthodox,16,10,0
Shoji Maruyama,"5' 7""",139 lbs.,--,Orthodox,12,9,1
Kazuma Maruyama,"5' 11""",155 lbs.,"72.0""",Orthodox,11,7,0
Islem Masraf,"6' 0""",205 lbs.,"74.0""",Southpaw,3,1,0
Mike Massenzio,"6' 2""",185 lbs.,"73.0""",Southpaw,13,9,0
Jameel Massouh,"5' 10""",145 lbs.,"72.0""",Orthodox,26,9,0
Tiffany Masters,"5' 3""",115 lbs.,"65.0""",Orthodox,2,1,0
Jorge Masvidal,"5' 11""",170 lbs.,"74.0""",Orthodox,35,17,0
Al Matavao,"5' 8""",205 lbs.,"67.0""",Orthodox,8,3,0
Tateki Matsuda,"5' 7""",125 lbs.,--,Orthodox,13,8,0
Daijiro Matsui,"5' 9""",200 lbs.,--,Orthodox,13,29,7
Toki Matsui,"5' 6""",125 lbs.,"65.0""",Orthodox,6,1,0
Koichiro Matsumoto,"5' 7""",145 lbs.,--,,15,3,1
Jean Matsumoto,"5' 6""",135 lbs.,"68.0""",Orthodox,16,1,0
Koyomi Matsushima,"5' 7""",145 lbs.,"66.0""",Orthodox,13,6,0
Naoki Matsushita,"5' 6""",155 lbs.,--,Orthodox,12,16,11
AJ Matthews,"5' 11""",185 lbs.,--,,8,7,0
Jake Matthews,"5' 11""",170 lbs.,"73.0""",Orthodox,21,7,0
Connor Matthews,"5' 8""",145 lbs.,"71.0""",Switch,7,3,0
Claudio Mattos,--,185 lbs.,--,Orthodox,5,4,0
John Matua,"6' 2""",400 lbs.,--,Orthodox,1,4,0
Francesco Maturi,--,--,--,,0,1,0
Vladimir Matyushenko,"6' 0""",205 lbs.,"74.0""",Orthodox,27,8,0
Miranda Maverick,"5' 3""",125 lbs.,"65.0""",Southpaw,17,5,0
Nick Maximov,"6' 0""",185 lbs.,"76.0""",Southpaw,8,2,0
Elaina Maxwell,"5' 8""",145 lbs.,--,Orthodox,7,4,0
Jeremy May,"6' 1""",185 lbs.,--,,13,10,0
Jack May,"6' 8""",255 lbs.,--,Switch,9,3,0
Don'Tale Mayes,"6' 6""",260 lbs.,"81.0""",Orthodox,11,8,0
Gray Maynard,"5' 9""",155 lbs.,"70.0""",Orthodox,13,7,1
Brooke Mayo,"5' 7""",125 lbs.,--,,0,1,0
Gina Mazany,"5' 6""",125 lbs.,"68.0""",Southpaw,7,6,0
Sabina Mazo,"5' 7""",125 lbs.,"70.0""",Orthodox,9,4,0
Francesco Mazzeo,"6' 3""",205 lbs.,"75.0""",Orthodox,4,1,0
Scott McAfee,"5' 8""",155 lbs.,--,Orthodox,14,7,0
Bobby McAndrews,--,--,--,Orthodox,1,3,0
Michael McBride,"6' 1""",155 lbs.,--,Orthodox,8,3,0
Ian McCall,"5' 5""",125 lbs.,"64.0""",Orthodox,13,5,1
Molly McCann,"5' 4""",115 lbs.,"62.0""",Orthodox,14,8,0
Charles McCarthy,"5' 10""",185 lbs.,"71.0""",Orthodox,10,5,0
Eric McConico,"6' 0""",185 lbs.,"77.0""",Southpaw,9,3,1
Sean McCorkle,"6' 7""",265 lbs.,"81.0""",Orthodox,17,7,0
Danni McCormack,"5' 4""",125 lbs.,"62.0""",Southpaw,9,2,0
Kris McCray,"6' 0""",170 lbs.,"76.0""",Orthodox,8,5,0
Tamdan McCrory,"6' 4""",185 lbs.,"76.0""",Switch,14,5,0
Rob McCullough,"5' 9""",155 lbs.,"69.0""",Orthodox,19,8,0
Justin McCully,"6' 1""",225 lbs.,"73.0""",Orthodox,11,5,2
Robert McDaniel,"6' 3""",185 lbs.,"75.0""",Southpaw,28,10,0
Michael McDonald,"5' 11""",205 lbs.,--,Orthodox,1,1,0
Scott McDonald,--,--,--,,1,0,0
Michael McDonald,"5' 9""",135 lbs.,"70.0""",Orthodox,17,4,0
Josh McDonald,--,185 lbs.,--,,9,5,0
Miles McDonald,"5' 7""",115 lbs.,--,,2,1,0
Justin McElfresh,"6' 6""",205 lbs.,--,Orthodox,6,4,0
Drew McFedries,"6' 0""",185 lbs.,"72.0""",Southpaw,12,7,0
Liam McGeary,"6' 6""",205 lbs.,--,,12,2,0
Gan McGee,"6' 10""",265 lbs.,--,Orthodox,13,5,0
Court McGee,"5' 11""",170 lbs.,"75.0""",Orthodox,23,13,0
Marcus McGhee,"5' 8""",135 lbs.,"69.0""",Orthodox,10,1,0
Ryan McGillivray,"5' 11""",170 lbs.,--,,12,0,1
Ryan McGivern,"6' 0""",185 lbs.,--,Orthodox,13,7,0
Jack McGlaughlin,--,--,--,Orthodox,1,4,0
Conor McGregor,"5' 9""",155 lbs.,"74.0""",Southpaw,22,6,0
Greg McIntyre,"5' 10""",155 lbs.,--,Orthodox,6,4,0
Antonio McKee,"5' 8""",155 lbs.,--,Southpaw,29,6,2
AJ McKee,"5' 10""",145 lbs.,--,,8,0,0
Rhys McKee,"6' 2""",170 lbs.,"78.0""",Orthodox,13,6,1
Cory McKenna,"5' 3""",115 lbs.,"58.0""",Orthodox,8,4,0
Tim McKenzie,"6' 0""",185 lbs.,"74.0""",Orthodox,14,9,0
Cody McKenzie,"6' 0""",155 lbs.,"72.0""",Switch,16,10,0
Terrance McKinney,"5' 10""",155 lbs.,"73.0""",Switch,16,7,0
Brian McLaughlin,"5' 9""",155 lbs.,--,,6,2,0
Jason McLean,"5' 5""",145 lbs.,--,,6,7,0
Garreth McLellan,"6' 1""",185 lbs.,"72.0""",Southpaw,13,6,0
Sara McMann,"5' 6""",135 lbs.,"66.0""",Orthodox,13,6,0
Tommy McMillen,--,145 lbs.,--,,6,0,0
James McSweeney,"6' 4""",230 lbs.,"77.0""",Switch,15,15,0
Charles McTorry,--,--,--,,3,0,0
Daniel McWilliams,"6' 1""",185 lbs.,--,,15,37,0
Tim Means,"6' 2""",170 lbs.,"75.0""",Orthodox,33,17,1
Yancy Medeiros,"5' 10""",155 lbs.,"75.0""",Orthodox,15,8,0
Anistavio Medeiros,"5' 6""",145 lbs.,--,Orthodox,19,10,0
Kaline Medeiros,"5' 3""",115 lbs.,--,,8,5,0
MarQuel Mederos,"5' 10""",155 lbs.,"69.0""",Orthodox,10,1,0
Uros Medic,"6' 1""",170 lbs.,"71.0""",Southpaw,10,3,0
Todd Medina,"5' 10""",193 lbs.,--,Southpaw,11,9,0
Jason Medina,"5' 9""",180 lbs.,--,,21,15,1
Jose Daniel Medina,"6' 0""",185 lbs.,"74.0""",Orthodox,11,5,0
Emil Meek,"5' 11""",170 lbs.,"74.0""",Switch,9,5,1
Sanford Alton Meeks,"6' 5""",265 lbs.,"75.0""",Orthodox,1,1,0
Gerald Meerschaert,"6' 1""",185 lbs.,"77.0""",Southpaw,37,18,0
Frank Megallon,"5' 10""",185 lbs.,--,Southpaw,2,3,0
Derrick Mehmen,"6' 4""",205 lbs.,--,,19,9,0
Miika Mehmet,--,205 lbs.,--,Orthodox,3,5,0
Jordan Mein,"6' 0""",170 lbs.,"73.0""",Orthodox,31,12,0
Bryce Mejia,"6' 1""",170 lbs.,--,,3,1,0
Brian Melancon,"5' 8""",170 lbs.,--,Orthodox,7,3,0
Brandon Melendez,"5' 11""",155 lbs.,--,Southpaw,25,25,0
Gilbert Melendez,"5' 9""",145 lbs.,"73.0""",Orthodox,22,8,0
Nair Melikyan,"5' 6""",155 lbs.,--,,11,0,0
Marcelo Mello,"5' 7""",170 lbs.,--,Southpaw,1,0,0
Fabio Mello,"5' 5""",155 lbs.,--,Southpaw,11,8,0
Vanessa Melo,"5' 5""",135 lbs.,"65.0""",Orthodox,11,8,0
Antonio Mendes,"6' 3""",205 lbs.,"77.0""",Southpaw,18,13,0
