name,height,reach,stance
Thomas Campbell,70,71,Orthodox
Shane Campbell,72,71,Orthodox
Charlie Campbell,72,72,Orthodox
Kitt Campbell,71,72,Orthodox
John Campetella,69,69,Orthodox
Wagner Campos,66,66,Southpaw
Derek Campos,69,69,Orthodox
Will Campuzano,69,70,Orthodox
Aleksa Camur,73,74,Orthodox
Chico Camus,66,66,Orthodox
Asbel Cancio,70,70,Orthodox
Carlos Candelario,68,68,Southpaw
Ronaldo Candido,66,66,Southpaw
Luiz Cane,74,77,Southpaw
Guido Cannetti,66,68,Southpaw
Jared Cannonier,71,77,Switch
Jose Canseco,76,76,Orthodox
Cody Canterbury,68,68,Orthodox
Bo Cantrell,74,74,Orthodox
Steve Cantwell,74,75,Orthodox
Paul Capaldo,67,67,Orthodox
Phil Caracappa,68,70,Orthodox
Frank Caracci,70,71,Orthodox
Gina Carano,68,68,Orthodox
Dos Caras Jr.,76,76,Orthodox
Bryan Caraway,68,68,Orthodox
Remo Cardarelli,67,68,Orthodox
Phil Cardella,71,71,Orthodox
Edgar Cardenas,68,70,Orthodox
Chris Cariaso,63,64,Southpaw
Ronald Carillo,66,67,Orthodox
Rafael Carino,80,80,Orthodox
Don Carlo-Clauss,71,72,Orthodox
Antonio Carlos Junior,74,79,Orthodox
Spike Carlyle,68,71,Switch
Francis Carmont,75,78,Orthodox
Liz Carmouche,66,66,Orthodox
Roan Carneiro,71,76,Orthodox
Ariane Carnelossi,62,61,Orthodox
Luana Carolina,66,69,Orthodox
Tim Caron,73,73,Orthodox
Clayton Carpenter,66,66,Orthodox
Gabriel Carrasco,66,66,Orthodox
Cody Carrillo,70,70,Orthodox
Cain Carrizosa,68,68,Orthodox
Roger Carroll,70,70,Orthodox
Jonny Carson,70,70,Orthodox
Scott Carson,74,74,Orthodox
Shonie Carter,70,70,Southpaw
Jack Cartwright,69,68,Orthodox
Bruno Carvalho,68,68,Orthodox
Antonio Carvalho,69,70,Orthodox
Rafael Carvalho,75,75,Orthodox
Shane Carwin,74,80,Orthodox
Johnny Case,70,72,Orthodox
Kevin Casey,71,77,Southpaw
Cortney Casey,67,67,Orthodox
Brandon Cash,77,77,Orthodox
Bendy Casimir,65,65,Southpaw
Dwayne Cason,70,70,Orthodox
Joe Cason,75,75,Orthodox
John Castaneda,66,71,Switch
Eric Castile,68,68,Orthodox
Gil Castillo,69,69,Southpaw
Danny Castillo,69,71,Orthodox
Raul Castillo,71,71,Orthodox
Jenna Castillo,62,62,Orthodox
Tim Catalfo,71,71,Orthodox
Nick Catone,72,72,Southpaw
Luke Caudillo,67,67,Orthodox
Gesias Cavalcante,68,71,Orthodox
Rafael Cavalcante,73,74,Orthodox
Jacqueline Cavalcanti,68,70,Orthodox
Igor Cavalcanti,71,79,Orthodox
Magnus Cedenblad,77,79,Orthodox
Yosdenis Cedeno,68,69,Orthodox
Henry Cejudo,64,64,Orthodox
Adam Cella,74,74,Orthodox
Vinicius Cenci,73,74,Orthodox
Katlyn Cerminara,69,68,Orthodox
Rafael Cerqueira,75,76,Southpaw
Donald Cerrone,73,73,Orthodox
Jared Chaffee,70,70,Orthodox
Luan Chagas,72,75,Orthodox
Edgar Chairez,67,71,Orthodox
Ansar Chalangov,69,69,Orthodox
Alex Chambers,63,63,Southpaw
Michael Chandler,68,71,Orthodox
Chelsea Chandler,68,68,Southpaw
Donnie Chappell,71,71,Southpaw
Joe Charles,73,73,Southpaw
Dan Charles,74,74,Orthodox
Morgan Charriere,68,69,Orthodox
Ernest Chavez,68,70,Orthodox
Emilio Chavez,69,69,Orthodox
Danny Chavez,68,67,Orthodox
Gabriel Checco,73,73,Switch
Albert Cheng,71,71,Orthodox
Fabio Cherant,73,74,Southpaw
Ion Cherdivara,74,74,Orthodox
Mark Cherico,67,69,Orthodox
Macy Chiasson,71,72,Orthodox
Michael Chiesa,73,75,Southpaw
Giga Chikadze,72,74,Orthodox
Khamzat Chimaev,74,75,Orthodox
Sako Chivitchian,71,71,Orthodox
Mu Bae Choi,74,74,Orthodox
Hong Man Choi,86,86,Orthodox
Dooho Choi,70,70,Orthodox
SeungWoo Choi,72,74,Orthodox
SeungGuk Choi,66,64,Orthodox
DongHun Choi,65,66,Switch
John Cholish,71,74,Orthodox
Ryo Chonan,69,70,Orthodox
Will Chope,76,76,Switch
Joachim Christensen,75,76,Orthodox
Kevin Christian,79,80,Orthodox
Dan Christison,80,80,Orthodox
Anthony Christodoulou,69,69,Orthodox
Murad Chunkaiev,71,71,Orthodox
Cameron Church,71,72,Orthodox
Steven Ciaccio,72,72,Orthodox
Mike Ciesnolevicz,72,72,Orthodox
Hannah Cifers,61,62,Orthodox
Branko Cikatic,73,73,Orthodox
Nikolajus Cilkinas,70,71,Orthodox
Misha Cirkunov,75,77,Orthodox
Johnny Cisneros,71,71,Orthodox
Laverne Clark,71,71,Orthodox
Logan Clark,74,74,Orthodox
Mychal Clark,75,75,Orthodox
Dominic Clark,70,70,Orthodox
Heather Clark,66,64,Orthodox
Devin Clark,72,75,Orthodox
Jessica-Rose Clark,65,64,Orthodox
Shannon Clark,65,64,Orthodox
John Clarke,71,72,Orthodox
Mitch Clarke,70,73,Orthodox
Rich Clementi,69,72,Southpaw
Chris Clements,70,70,Orthodox
RJ Clifford,70,71,Orthodox
Mark Climaco,64,65,Southpaw
Josh Clopton,66,66,Orthodox
Brian Cobb,71,71,Orthodox
Darryl Cobb,69,69,Orthodox
Dave Cochran,66,66,Orthodox
Dakota Cochrane,68,68,Orthodox
Marloes Coenen,69,67,Orthodox
Marc Cofer,72,73,Orthodox
John Cofer,69,69,Southpaw
Chris Coggins,70,71,Orthodox
Felipe Colares,68,69,Orthodox
Wayne Cole,73,73,Orthodox
Devin Cole,76,76,Orthodox
Coltin Cole,72,73,Orthodox
Ivan Cole,69,69,Orthodox
